gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
1,0,0,0,-1.1960038562387048,1,0,2,1,1,1,1,1,1,0,0,3,-1.4926823160681442,-0.9796502073488063
0,0,1,1,0.9214550572028734,1,0,1,0,2,2,2,2,2,1,1,0,1.2941512532104444,1.4894872804424357
1,0,0,0,-0.3408762181180675,1,0,0,0,2,0,0,0,0,0,1,3,-0.5005895069689685,-0.47025427736333447
1,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,3,-1.481049737066981,-0.999232169292861
1,0,1,0,1.1657772395230555,0,1,0,2,0,2,2,2,2,2,1,3,-0.08680205392760396,0.660333586310757
1,0,1,1,0.3920903288424788,1,0,2,1,1,1,1,1,1,2,0,3,-1.46443176706532,-0.6421869939589336
1,0,0,1,-0.38159658183809786,1,0,0,0,2,0,2,0,0,0,0,2,-0.35268957395418365,-0.42866192527472263
1,0,0,0,0.18848851024232702,1,2,1,0,0,0,2,2,2,0,0,0,1.1312951471941644,0.5264168093630293
0,0,1,1,0.43281069256250915,1,0,2,1,1,1,1,1,1,1,0,3,-1.4876969250676457,-0.6469996971199301
1,1,1,0,-0.5037576729981889,1,0,1,0,2,0,0,0,0,0,1,2,0.2954112561106046,-0.36196845624091356
1,0,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,1,1,0.16745288709781284,-0.9486767094823934
1,0,1,0,1.5729808767233588,1,2,1,2,2,2,0,2,2,1,1,2,1.4902432992300467,2.459710576403323
1,1,1,0,-0.0965540357978854,1,2,1,2,2,2,2,2,0,0,1,0,1.3606231332170895,0.3967166668361745
0,0,1,1,1.6137012404433893,1,2,0,2,2,2,2,2,2,2,1,0,0.9468356801757247,1.9452370238168
0,0,0,0,-1.2774445836787656,1,0,1,0,0,2,0,0,0,0,1,3,0.32698539911376057,-0.9752128067278877
1,0,1,0,-0.9516816739185228,0,1,0,0,0,0,2,2,0,0,0,3,-0.801374763999037,-0.8629090407646347
1,0,0,0,-1.2774445836787656,1,0,0,0,0,2,0,0,0,0,1,3,-0.5022513039691348,-0.9862290401101685
1,0,1,1,-0.9924020376385531,1,0,2,1,1,1,1,1,1,0,1,3,-1.5093002860698053,-0.9407732795207568
0,0,1,0,-0.9924020376385531,1,0,0,2,0,0,2,0,2,2,0,3,0.02453834508352634,-0.7589723137831144
0,0,1,1,0.35136996512244845,1,2,0,2,2,2,2,0,2,0,0,1,0.50313588113137,0.4604739454093755
1,0,0,1,0.9621754209229036,1,0,2,1,1,1,1,1,1,1,1,3,-1.4478137970636586,-0.4612470164014694
1,0,0,0,-1.1960038562387048,1,2,1,0,0,0,0,0,0,0,1,2,0.40508985812156867,-0.9073051235938271
0,0,0,0,1.247217966963116,1,2,0,2,2,2,2,0,2,2,1,1,0.5164302571326987,1.1974577510219704
1,0,1,1,1.4508197855632678,1,0,1,2,2,2,0,2,2,2,1,0,1.3456669602155942,2.159027011941066
1,0,1,0,1.5322605130033284,1,2,1,2,2,2,0,2,0,2,1,1,1.1495749141959914,2.0580706286601624
1,0,1,1,1.6137012404433893,1,2,0,2,2,2,2,2,2,2,0,1,0.8338334841644282,1.8895818647852765
1,0,0,0,-1.2367242199587352,1,0,2,1,1,1,1,1,1,1,0,1,-1.5109620830699715,-0.9956557568521203
0,0,1,0,-0.30015585439803716,1,0,1,0,0,2,0,0,0,0,1,2,0.32698539911376057,-0.21438625151035623
1,0,1,1,1.369379058123207,1,0,0,2,2,2,2,2,0,1,1,2,0.3436033691154218,1.2052507978835838
0,0,0,1,-0.5444780367182193,1,0,2,1,1,1,1,1,1,2,0,3,-1.4710789550659844,-0.832178385718272
0,0,0,0,1.125056875803025,0,1,0,2,0,2,0,2,2,2,0,2,-0.3709693409560109,0.4211113319412255
0,1,0,0,-1.2367242199587352,1,2,1,0,0,0,0,0,0,0,1,3,0.35523594811658493,-0.9382123916002265
1,0,0,0,0.47353105628253944,1,0,1,0,2,0,2,2,2,0,0,2,1.1894580421999785,0.9337746016873737
1,0,0,0,-0.0965540357978854,1,2,1,2,2,2,0,0,0,1,0,0,0.8521132511662559,0.23725724054315792
0,0,0,1,-1.2774445836787656,1,0,0,0,0,0,0,0,0,0,0,3,-0.6252242819814278,-0.9878627099905068
0,0,0,0,-1.2774445836787656,1,0,1,0,0,0,0,0,0,0,0,2,0.19071804510013865,-0.9770230895682624
1,1,0,0,-0.5444780367182193,1,2,1,2,0,0,0,2,0,0,1,2,0.85876043916692,-0.2752073396229494
0,0,1,1,1.002895784642934,1,2,0,2,0,2,2,2,2,2,1,2,0.6560212051466532,1.1312499676282615
1,0,1,1,1.0843365120829946,1,0,0,0,2,2,2,2,2,1,0,1,0.39844267012090406,0.9972448842005154
0,0,0,0,-0.0965540357978854,0,1,0,0,0,0,2,0,2,1,1,1,-0.8113455460000336,-0.4840300882461868
1,0,1,0,0.3106496014024181,1,0,1,0,2,2,0,0,0,0,1,2,0.5064594751317021,0.3909546690149814
0,0,1,1,0.10704778280226633,1,2,2,1,1,1,1,1,1,2,1,1,-1.3082228490497045,-0.5887836501678764
1,0,1,1,-0.9516816739185228,1,0,1,0,2,0,2,2,2,0,1,2,1.221032185203135,-0.6077474667518029
1,0,1,1,-0.055833672077855064,1,0,2,1,1,1,1,1,1,0,1,2,-1.4660935640654862,-0.6981733022905258
0,0,1,0,-0.6666391278783103,1,0,1,0,2,0,0,2,2,0,1,0,0.9933659961803764,-0.36300605738112834
0,0,0,0,0.6364125111626608,0,1,0,2,2,0,0,2,0,0,1,2,-0.6634456129852487,-0.07892411116230831
1,0,1,0,0.10704778280226633,0,1,0,2,0,2,0,2,2,1,0,1,-0.3859255139575061,-0.15559621243818353
1,0,0,1,-0.13727439951791576,1,2,1,0,2,2,2,0,2,1,0,1,1.1894580421999785,0.24158425806405373
0,0,1,0,-0.5444780367182193,1,0,0,0,2,0,0,0,2,0,1,3,-0.16490651293541178,-0.5088442091313247
0,0,0,0,0.5956921474426305,1,2,1,2,0,2,0,2,0,1,0,1,1.001674981181207,1.0296312857472212
0,0,0,0,-0.3408762181180675,1,2,2,1,1,1,1,1,1,1,0,0,-1.3348116010523623,-0.7409136386193753
0,0,1,1,-1.0738427650786138,1,0,2,1,1,1,1,1,1,2,0,3,-1.4843733310673135,-0.9638433474255336
1,0,0,1,-1.1960038562387048,1,0,1,0,0,0,0,0,0,0,0,2,0.16246749609731476,-0.9109698425145859
1,1,1,0,1.5729808767233588,1,2,2,1,1,1,1,1,1,2,0,1,-1.3065610520495383,-0.2179626639510967
0,1,0,0,0.47353105628253944,1,2,1,2,2,2,0,2,2,1,1,1,1.4968904872307114,1.1378508770096285
1,0,0,0,-0.5444780367182193,1,0,2,1,1,1,1,1,1,2,1,3,-1.4893587220678117,-0.843238772340562
0,0,1,1,-0.7073594915983407,1,0,2,1,1,1,1,1,1,0,0,3,-1.4860351280674797,-0.8826234624287167
0,0,1,0,1.2879383306831464,1,2,2,1,1,1,1,1,1,2,0,1,-1.3215172250510334,-0.30841057610982425
1,0,1,0,1.125056875803025,1,2,1,2,0,2,2,2,2,0,1,0,1.4852579082295487,1.8939751121661863
1,1,1,0,1.6137012404433893,1,2,1,2,2,2,2,2,2,2,1,3,1.653099405246327,2.6706747571670046
1,0,0,0,0.758573602322752,1,0,2,1,1,1,1,1,1,1,0,2,-1.517609271070636,-0.563174770962574
0,0,0,0,0.7992939660427822,1,0,0,0,0,2,0,0,2,0,1,2,-0.17653909193657447,0.3357410423835492
0,0,0,0,-1.2774445836787656,0,1,0,0,0,0,0,0,0,0,1,3,-1.3181936310507012,-0.9970686605324129
0,0,1,0,0.5549717837226001,0,1,0,2,2,0,0,2,0,0,0,2,-0.6385186579827569,-0.09764508492618458
1,0,1,1,1.4100994218432374,1,2,0,2,0,2,0,2,2,2,1,2,0.4964886931307054,1.329056482869218
1,0,0,1,-0.38159658183809786,0,1,0,2,2,0,2,0,0,1,0,0,-0.801374763999037,-0.5898433279280957
0,0,1,1,-0.9109613101984924,1,0,2,1,1,1,1,1,1,0,1,0,-1.4943441130683104,-0.9212796240567206
1,0,0,0,1.5729808767233588,1,2,1,0,2,0,0,0,0,1,1,1,0.4748853321285456,1.4434575277329051
1,0,1,1,1.5729808767233588,1,2,0,2,2,2,2,2,2,2,0,0,0.7341256641544608,1.7575195239179326
1,1,1,0,-1.0331224013585834,1,0,1,0,0,0,0,2,2,0,1,2,0.8055829351616043,-0.740825332139357
1,0,1,0,0.43281069256250915,1,2,0,2,0,2,0,2,2,1,1,2,0.5131066631323666,0.5732413203927244
0,0,1,1,0.18848851024232702,1,0,0,2,2,0,0,2,2,1,0,0,0.3436033691154218,0.16579522158836155
0,0,1,1,0.7178532386027215,1,2,0,0,2,2,2,2,2,1,1,1,0.6443886261454905,0.8305664031660042
0,1,0,0,1.125056875803025,1,2,1,0,0,2,2,2,2,1,1,2,1.3705939152180862,1.8359356781741687
0,0,1,1,-0.30015585439803716,1,0,1,0,2,2,0,2,0,0,1,0,0.8105683261621028,-0.01128134746830276
1,0,1,1,1.6137012404433893,1,2,0,2,0,0,0,0,0,2,0,0,-0.31446824295036285,0.7507373452294754
0,0,1,0,0.43281069256250915,0,1,0,2,0,0,2,0,0,0,0,0,-1.0223937650211312,-0.3434903252970877
1,0,0,0,-0.62591876415828,1,0,2,1,1,1,1,1,1,0,0,1,-1.451137391063991,-0.8379183069194603
0,0,1,1,0.5956921474426305,0,1,0,2,2,2,0,2,2,2,1,1,-0.1582593249347472,0.21429755573840406
1,0,1,1,0.9621754209229036,1,0,1,0,2,2,2,0,0,1,1,3,0.7008897241511383,1.1084668957835444
0,0,1,0,1.4915401492832983,1,2,1,0,2,2,0,0,0,0,1,0,0.6859335511496436,1.5833791453218762
0,1,1,0,1.5729808767233588,1,2,1,2,2,2,2,0,0,2,1,1,1.0498670941860242,1.979676551023931
1,0,1,1,-1.0331224013585834,0,1,0,2,2,2,0,0,0,2,0,3,-0.8711702380060141,-0.8845220517491098
1,0,1,1,-0.3408762181180675,1,2,0,2,0,0,0,2,2,1,0,3,0.33363258711442517,-0.2040323167282124
1,1,1,1,1.6137012404433893,1,2,1,2,2,2,2,2,2,2,1,1,1.6946443302504801,2.7003457344531476
1,0,1,0,-0.0965540357978854,1,0,2,1,1,1,1,1,1,1,0,1,-1.4943441130683104,-0.7535414652619898
0,0,0,0,1.125056875803025,0,1,0,2,0,2,0,0,2,1,1,2,-0.6750781919864114,0.216615600838884
0,0,1,1,-0.015113308357824713,1,2,1,0,2,0,0,2,2,0,1,2,1.1329569441943304,0.3560073795477454
1,1,0,0,0.47353105628253944,1,0,1,0,0,2,0,0,0,0,0,2,0.3020584441112687,0.3704896422707441
0,0,1,1,-0.9109613101984924,1,2,1,2,0,0,0,2,2,0,1,2,1.1794872601989819,-0.5380736540173766
0,0,1,1,-0.9109613101984924,1,2,2,1,1,1,1,1,1,2,0,1,-1.2849576910473786,-0.9085634909340876
1,0,0,0,-1.2774445836787656,1,0,1,0,0,0,0,2,2,0,1,2,0.7839795741594444,-0.9691417362266306
1,0,0,0,-1.2774445836787656,1,2,0,0,0,2,0,0,0,0,0,2,-0.34604238595351905,-0.9841538378297389
1,0,1,0,-0.8295205827584317,1,0,1,0,2,0,0,0,2,0,1,1,0.6743009721484804,-0.5667070301633053
0,0,1,1,1.4100994218432374,1,2,2,1,1,1,1,1,1,2,1,3,-1.3248408190513656,-0.26626630852109817
1,0,1,0,0.9214550572028734,1,2,1,0,0,2,2,2,2,1,1,2,1.3091074262119398,1.5275915265703255
1,0,1,0,0.06632741908223598,1,2,1,0,2,0,0,0,2,0,0,3,0.8005975441611056,0.316556459599577
0,0,0,0,-0.8702409464784621,1,0,0,0,0,2,2,0,0,1,0,0,-0.3643221529553466,-0.7204706884951425
1,0,1,1,0.10704778280226633,1,0,2,1,1,1,1,1,1,2,0,3,-1.5009913010689746,-0.7048404415319062
1,0,1,1,-0.2594354906780068,1,0,2,1,1,1,1,1,1,2,1,1,-1.51594747407047,-0.7804307884275574
0,1,0,0,0.7178532386027215,1,2,1,0,0,2,2,2,2,0,1,2,1.3356961782145975,1.2976856058427229
1,0,0,0,-0.62591876415828,1,0,0,0,0,0,2,0,0,0,0,3,-0.44076481496298814,-0.6105511974923833
1,0,1,0,1.6137012404433893,1,2,1,2,0,2,2,2,2,2,1,1,1.5666859612376889,2.5554789539831524
1,0,0,0,-0.8702409464784621,0,1,0,0,2,2,0,0,0,0,0,3,-0.9991286070188055,-0.8388013717196432
0,1,0,0,-0.8702409464784621,1,0,1,0,0,0,0,2,2,0,0,0,0.82884809316393,-0.5455576281989262
1,0,1,1,0.06632741908223598,0,1,0,2,0,0,0,0,0,1,0,0,-1.1420431490330922,-0.5937067364288956
0,0,0,0,-1.2774445836787656,1,0,1,0,0,0,0,0,2,0,1,2,0.5712695581381809,-0.9719675435872157
1,0,1,0,1.4508197855632678,1,2,1,0,2,2,2,2,2,2,1,0,1.503537675231376,2.3527272758611724
0,0,1,1,1.4508197855632678,1,2,0,0,2,2,2,2,2,2,0,0,0.682609957149311,1.4467690207335908
1,0,1,1,-0.38159658183809786,1,0,2,1,1,1,1,1,1,1,0,3,-1.4993295040688086,-0.8152456181747659
0,1,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,1,2,0.1857326540996401,-0.9467560435419955
1,0,0,0,-0.9516816739185228,0,1,0,0,0,0,0,2,2,0,1,2,-0.6435040489832552,-0.8232373546164207
0,0,0,0,-0.0965540357978854,1,2,0,2,0,2,0,2,2,1,1,1,0.4831943171293762,0.06349216448717927
0,1,1,0,1.4915401492832983,1,2,1,0,2,0,2,2,2,2,0,1,1.3506523512160928,2.0821120678451406
1,0,0,0,-1.2774445836787656,1,0,1,0,0,0,0,0,0,0,1,2,0.17077648109814536,-0.9772880090083172
0,1,1,0,0.6364125111626608,1,0,0,0,2,0,0,0,2,1,1,0,-0.1931570619382357,0.22359181276032833
0,0,1,1,1.1657772395230555,1,2,0,2,2,0,0,0,0,0,0,2,-0.16490651293541178,0.5996891111582004
0,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,1,3,-1.517609271070636,-0.9997178549329615
0,0,1,0,-1.2774445836787656,1,0,0,0,0,0,0,2,0,0,1,3,-0.31446824295036285,-0.9837343820496519
